1,해커,1983-03-26,NC,1,1.615050011
2,양의지,1987-06-05,두산,2,1.449829987
3,민병헌,1987-03-10,두산,9,1.437900011
4,최형우,1983-12-16,삼성,7,1.425699974
5,우규민,1985-01-21,LG,1,1.416840028
6,구자욱,1993-02-12,삼성,3,1.394039962
7,최정,1987-02-28,SK,5,1.386790014
8,신재영,1989-11-18,넥센,1,1.379190001
9,손아섭,1988-03-18,롯데,9,1.292030012
10,오재일,1986-10-29,두산,3,1.274430012
11,히메네스,1988-01-18,LG,5,1.253250015
12,웹스터,1990-02-10,삼성,1,1.241149982
13,박경수,1984-03-31,kt,4,1.216050015
14,김문호,1987-06-22,롯데,7,1.156129983
15,보우덴,1986-09-09,두산,1,1.14775004
16,박석민,1985-06-22,NC,5,1.110840004
17,김재호,1985-03-21,두산,6,1.101389994
18,유한준,1981-07-01,kt,9,1.090689972
19,김광현,1988-07-22,SK,1,1.083960008
20,김하성,1995-10-17,넥센,6,1.077720005
21,강민호,1985-08-18,롯데,2,1.052940021
22,김민성,1988-12-17,넥센,5,1.02483001
23,정의윤,1986-07-25,SK,9,1.001449998
24,박희수,1983-07-13,SK,1,0.977739998
25,정근우,1982-10-02,한화,4,0.963529988
26,이진영,1980-06-15,kt,0,0.949870048
27,장시환,1987-11-01,kt,1,0.917949995
28,정우람,1985-06-01,한화,1,0.910530004
29,황재균,1987-07-28,롯데,5,0.905129991
30,이재학,1990-10-04,NC,1,0.89994001
31,서상우,1989-09-17,LG,0,0.864410005
32,필,1984-09-09,KIA,3,0.858349993
33,레일리,1988-06-29,롯데,1,0.850210017
34,박종훈,1991-08-13,SK,1,0.821850005
35,켈리,1988-10-14,SK,1,0.801889981
36,피어밴드,1985-08-22,"넥센,kt",1,0.795350023
37,니퍼트,1981-05-06,두산,1,0.78239001
38,이범호,1981-11-25,KIA,5,0.772620008
39,밴와트,1986-02-14,kt,1,0.767370006
40,이병규,1983-10-09,LG,7,0.766339974
41,정재훈,1980-01-01,두산,1,0.764810005
42,양현종,1988-03-01,KIA,1,0.752309995
43,김성현,1987-03-09,SK,4,0.746609996
44,장원준,1985-07-31,두산,1,0.746430006
45,정대현,1991-07-19,kt,1,0.741859981
46,임창민,1985-08-25,NC,1,0.731729994
47,한기주,1987-04-29,KIA,1,0.728390018
48,지크,1989-09-11,KIA,1,0.717180002
49,나성범,1989-10-03,NC,9,0.69946
50,테임즈,1986-11-10,NC,3,0.694069966
51,박세웅,1995-11-30,롯데,1,0.691459983
52,박정권,1981-07-21,SK,3,0.688480009
53,윤성환,1981-10-08,삼성,1,0.654549974
54,김재환,1988-09-22,두산,7,0.652139998
55,이성민,1990-03-30,롯데,1,0.635350004
56,최진행,1985-08-17,한화,7,0.627209979
57,마르테,1983-10-21,kt,5,0.618849993
58,김준완,1991-01-20,NC,8,0.614560004
59,윤길현,1983-09-23,롯데,1,0.611459973
60,신승현,1983-08-13,LG,1,0.589939997
61,최준석,1983-02-15,롯데,0,0.58562001
62,권혁,1983-11-06,한화,1,0.583960022
63,박주현,1996-06-19,넥센,1,0.581230006
64,김강민,1982-09-13,SK,8,0.56499003
65,아두치,1985-05-15,롯데,8,0.562200016
66,정수빈,1990-10-07,두산,8,0.555769995
67,나지완,1985-05-19,KIA,0,0.552170011
68,고종욱,1989-01-11,넥센,7,0.544019987
69,이지영,1986-02-27,삼성,2,0.543179992
70,차우찬,1987-05-31,삼성,1,0.539770006
71,노수광,1990-08-06,KIA,9,0.538310004
72,채태인,1982-10-11,넥센,3,0.523130007
73,박민석,1989-07-04,NC,1,0.518190005
74,장민재,1990-03-19,한화,1,0.513560007
75,배영섭,1986-06-27,삼성,9,0.501409998
76,오재원,1985-02-09,두산,4,0.487170006
77,박동원,1990-04-07,넥센,2,0.486169994
78,고영표,1991-09-16,kt,1,0.479870001
79,이재원,1988-02-24,SK,2,0.477769998
80,김세현,1987-08-07,넥센,1,0.476939987
81,이호준,1976-02-08,NC,0,0.476829996
82,채병용,1982-04-25,SK,1,0.464129989
83,오현택,1985-07-17,두산,1,0.463229989
84,박용택,1979-04-21,LG,0,0.421010034
85,박민우,1993-02-06,NC,4,0.418899985
86,손시헌,1980-10-19,NC,6,0.401339988
87,스튜어트,1986-09-28,NC,1,0.396049997
88,문승원,1989-11-28,SK,1,0.394420001
89,홍건희,1992-09-29,KIA,1,0.393359999
90,손승락,1982-03-04,롯데,1,0.380929997
91,김진성,1985-03-07,NC,1,0.377390027
92,세든,1983-10-13,SK,1,0.370270003
93,코엘로,1984-11-23,넥센,1,0.360740004
94,심수창,1981-02-09,한화,1,0.360739993
95,대니돈,1984-07-20,넥센,9,0.360320018
96,이동현,1983-01-12,LG,1,0.343410002
97,김경언,1982-12-07,한화,9,0.339119986
98,이승엽,1976-08-18,삼성,0,0.338689994
99,채은성,1990-02-06,LG,9,0.33090001
100,이정민,1979-03-02,롯데,1,0.325089988
101,김주형,1985-12-15,KIA,6,0.314519971
102,윤석민,1986-07-24,KIA,1,0.308069998
103,오지환,1990-03-12,LG,6,0.305699999
104,윤규진,1984-07-28,한화,1,0.304499994
105,허준혁,1990-09-30,두산,1,0.294129998
106,서동욱,1984-03-21,KIA,4,0.290439995
107,헥터,1987-01-26,KIA,1,0.278220007
108,진야곱,1989-04-11,두산,1,0.273380008
109,최정민,1989-06-02,SK,4,0.268159994
110,백정현,1987-07-13,삼성,1,0.253840002
111,김다원,1985-09-17,KIA,9,0.251069995
112,김동호,1985-09-10,삼성,1,0.243220001
113,이영욱,1985-10-11,삼성,8,0.236690005
114,유희관,1986-06-01,두산,1,0.225780034
115,박정진,1976-05-27,한화,1,0.22214002
116,이현호,1992-07-14,두산,1,0.217869998
117,이대형,1983-07-19,kt,8,0.217629996
