1,김재환,1988-09-22,두산,7,1.851889992
2,박건우,1990-09-08,두산,8,1.546890011
3,레일리,1988-06-29,롯데,1,1.541859964
4,최형우,1983-12-16,KIA,7,1.510770011
5,김하성,1995-10-17,넥센,6,1.428470022
6,김주찬,1981-03-25,KIA,3,1.224849966
7,박민우,1993-02-06,NC,4,1.143529987
8,나성범,1989-10-03,NC,9,1.136470006
9,이범호,1981-11-25,KIA,5,1.112929997
10,박용택,1979-04-21,LG,0,1.099749996
11,브리검,1988-02-10,넥센,1,1.078539989
12,양현종,1988-03-01,KIA,1,1.073400002
13,오재일,1986-10-29,두산,3,1.009190018
14,최원태,1997-01-07,넥센,1,1.005679983
15,버나디나,1984-06-12,KIA,8,0.964959988
16,이승엽,1976-08-18,삼성,0,0.964159991
17,김민성,1988-12-17,넥센,5,0.961750014
18,윤성환,1981-10-08,삼성,1,0.954120011
19,최정,1987-02-28,SK,5,0.931379999
20,백정현,1987-07-13,삼성,1,0.922310001
21,송승준,1980-06-29,롯데,1,0.897050016
22,손승락,1982-03-04,롯데,1,0.886189981
23,밴헤켄,1979-07-31,넥센,1,0.884280031
24,심창민,1993-02-01,삼성,1,0.86703001
25,손아섭,1988-03-18,롯데,9,0.86557998
26,고종욱,1989-01-11,넥센,7,0.85418999
27,헥터,1987-01-26,KIA,1,0.853170014
28,윤석민,1985-09-04,"넥센,kt",0,0.845760031
29,박동원,1990-04-07,넥센,2,0.825810006
30,이성열,1984-07-13,한화,7,0.815900002
31,양석환,1991-07-15,LG,5,0.808670012
32,백창수,1988-05-09,LG,7,0.780450006
33,박해민,1990-02-24,삼성,8,0.779130008
34,피어밴드,1985-08-22,kt,1,0.730720019
35,스크럭스,1987-09-23,NC,3,0.716179999
36,나지완,1985-05-19,KIA,0,0.698829992
37,이재학,1990-10-04,NC,1,0.686910004
38,김성민,1994-04-26,"SK,넥센",1,0.683170008
39,김강률,1988-08-28,두산,1,0.68141999
40,박정배,1982-04-01,SK,1,0.677259987
41,한동민,1989-08-09,SK,9,0.656600006
42,차우찬,1987-05-31,LG,1,0.645379994
43,정현,1994-06-01,kt,6,0.642860002
44,에반스,1986-01-30,두산,0,0.64016998
45,장원준,1985-07-31,두산,1,0.63146999
46,최원준,1997-03-23,KIA,5,0.617630012
47,김윤동,1993-04-01,KIA,1,0.612290004
48,해커,1983-03-26,NC,1,0.612019994
49,김대현,1997-03-08,LG,1,0.601510013
50,전준우,1986-02-25,롯데,8,0.600480016
51,장영석,1990-05-14,넥센,3,0.598690005
52,유희관,1986-06-01,두산,1,0.597680009
53,윤규진,1984-07-28,한화,1,0.572980014
54,구자욱,1993-02-12,삼성,9,0.565799985
55,권오준,1980-03-09,삼성,1,0.562419988
56,페트릭,1989-07-29,삼성,1,0.547040012
57,보우덴,1986-09-09,두산,1,0.540889976
58,고영표,1991-09-16,kt,1,0.533810028
59,박정권,1981-07-21,SK,3,0.532280004
60,임창용,1976-06-04,KIA,1,0.5288
61,로하스,1990-05-24,kt,8,0.526689991
62,함덕주,1995-01-13,두산,1,0.525789997
63,로사리오,1989-02-23,한화,3,0.523089983
64,이보근,1986-04-30,넥센,1,0.517120001
65,배장호,1987-06-25,롯데,1,0.498329998
66,니퍼트,1981-05-06,두산,1,0.49131999
67,이호준,1976-02-08,NC,0,0.486139987
68,정근우,1982-10-02,한화,4,0.477980007
69,박석민,1985-06-22,NC,5,0.472679983
70,이명기,1987-12-26,KIA,9,0.466330007
71,김선빈,1989-12-18,KIA,6,0.460980007
72,나주환,1984-06-14,SK,6,0.453589999
73,최주환,1988-02-28,두산,4,0.44338
74,켈리,1988-10-14,SK,1,0.42694999
75,유강남,1992-07-15,LG,2,0.419170019
76,김재율,1989-01-14,LG,3,0.418059994
77,소사,1985-07-28,LG,1,0.417620005
78,이민호,1993-08-11,NC,1,0.416139988
79,손시헌,1980-10-19,NC,6,0.41522999
80,김주한,1993-02-03,SK,1,0.414400007
81,조수행,1993-08-30,두산,9,0.387440004
82,최진행,1985-08-17,한화,7,0.382370012
83,이형종,1989-06-07,LG,7,0.372469993
84,류지혁,1994-01-13,두산,6,0.370970008
85,번즈,1990-08-07,롯데,4,0.370399997
86,이정후,1998-08-20,넥센,8,0.369380009
87,김원중,1993-06-14,롯데,1,0.369379991
88,안치홍,1990-07-02,KIA,4,0.367430007
89,이정민,1979-03-02,롯데,1,0.344549994
90,김진성,1985-03-07,NC,1,0.344490009
91,김성욱,1993-05-01,NC,8,0.33796999
92,이용찬,1989-01-02,두산,1,0.336530008
93,채태인,1982-10-11,넥센,3,0.333440005
94,박진형,1994-06-10,롯데,1,0.331899999
95,김문호,1987-06-22,롯데,7,0.331299994
96,심동섭,1991-09-20,KIA,1,0.327549999
97,오주원,1985-03-31,넥센,1,0.32581
98,김세현,1987-08-07,"넥센,KIA",1,0.324219983
99,이대수,1981-08-21,SK,6,0.322860013
100,권희동,1990-12-30,NC,7,0.319619999
101,허프,1984-08-22,LG,1,0.319589992
102,김지용,1988-02-20,LG,1,0.318609998
103,임기준,1991-10-08,KIA,1,0.317320001
104,정재원,1984-08-11,한화,1,0.304879995
105,박한이,1979-01-28,삼성,7,0.299119994
106,이대호,1982-06-21,롯데,3,0.297499989
107,다이아몬드,1986-07-30,SK,1,0.291940029
108,이원석,1986-10-21,삼성,5,0.291570018
109,서진용,1992-10-02,SK,1,0.289059995
110,홍성용,1986-11-18,kt,1,0.286160004
111,신재웅,1982-03-28,SK,1,0.285419998
112,이상화,1988-03-01,kt,1,0.265690004
113,나경민,1991-12-12,롯데,8,0.265150005
114,진해수,1986-06-26,LG,1,0.258600009
115,팻딘,1989-05-25,KIA,1,0.258559999
116,김명찬,1992-10-24,KIA,1,0.258070007
117,김태균,1982-05-29,한화,0,0.256839997
118,안성무,1990-12-14,삼성,1,0.255359993
119,신본기,1989-03-21,롯데,6,0.249260004
120,류희운,1995-06-19,kt,1,0.24572999
121,린드블럼,1987-06-15,롯데,1,0.235510015
122,정성훈,1980-06-27,LG,3,0.229399996
123,하영민,1995-05-07,넥센,1,0.213660007
124,맨쉽,1985-01-16,NC,1,0.212639999
125,박진태,1994-10-19,KIA,1,0.212179995
126,송은범,1984-03-17,한화,1,0.212140007
127,조정훈,1985-05-03,롯데,1,0.21050001
128,강윤구,1990-07-10,NC,1,0.2071
