1,박세웅,1995-11-30,롯데,1,1.777790002
2,헥터,1987-01-26,KIA,1,1.660689977
3,피어밴드,1985-08-22,kt,1,1.569719968
4,최형우,1983-12-16,KIA,7,1.42652
5,손아섭,1988-03-18,롯데,9,1.399650018
6,임찬규,1992-11-20,LG,1,1.377949994
7,김재호,1985-03-21,두산,6,1.364969983
8,임기영,1993-04-16,KIA,1,1.357750027
9,윤성환,1981-10-08,삼성,1,1.309720016
10,해커,1983-03-26,NC,1,1.303299981
11,나성범,1989-10-03,NC,9,1.283730009
12,고영표,1991-09-16,kt,1,1.188030012
13,박건우,1990-09-08,두산,8,1.137749999
14,켈리,1988-10-14,SK,1,1.118459997
15,유희관,1986-06-01,두산,1,1.080609983
16,차우찬,1987-05-31,LG,1,1.076479989
17,송승준,1980-06-29,롯데,1,1.075100007
18,최주환,1988-02-28,두산,4,1.062639992
19,러프,1986-07-28,삼성,3,1.044610013
20,이정후,1998-08-20,넥센,8,1.042389983
21,에반스,1986-01-30,두산,0,1.022799971
22,구자욱,1993-02-12,삼성,9,1.019649987
23,니퍼트,1981-05-06,두산,1,1.009820007
24,김선빈,1989-12-18,KIA,6,1.007550003
25,심재민,1994-02-18,kt,1,1.006729993
26,버나디나,1984-06-12,KIA,8,0.990720014
27,김상수,1988-01-02,넥센,1,0.978040004
28,서건창,1989-08-22,넥센,4,0.972379995
29,장원준,1985-07-31,두산,1,0.96995998
30,오간도,1983-10-05,한화,1,0.950569988
31,로사리오,1989-02-23,한화,3,0.948139993
32,민병헌,1987-03-10,두산,9,0.926599984
33,이범호,1981-11-25,KIA,5,0.9248
34,강민호,1985-08-18,롯데,2,0.900889994
35,오정복,1986-10-13,kt,7,0.89818
36,박용택,1979-04-21,LG,0,0.868459988
37,김태훈,1990-05-19,SK,1,0.861850004
38,안치홍,1990-07-02,KIA,4,0.85822
39,송광민,1983-06-24,한화,5,0.853999994
40,정근우,1982-10-02,한화,4,0.842249994
41,양의지,1987-06-05,두산,2,0.835229981
42,한동민,1989-08-09,SK,9,0.824310008
43,허경민,1990-08-26,두산,5,0.80461999
44,이현승,1983-10-11,두산,1,0.778269986
45,김윤동,1993-04-01,KIA,1,0.756230018
46,김태균,1982-05-29,한화,0,0.756190009
47,조용호,1989-09-09,SK,8,0.722000001
48,김성현,1987-03-09,SK,4,0.692439993
49,오주원,1985-03-31,넥센,1,0.69134
50,김민성,1988-12-17,넥센,5,0.668669991
51,김원중,1993-06-14,롯데,1,0.664770005
52,최정,1987-02-28,SK,5,0.662790002
53,서동욱,1984-03-21,KIA,3,0.639900002
54,하주석,1994-02-25,한화,6,0.633459989
55,김하성,1995-10-17,넥센,6,0.616739966
56,팻딘,1989-05-25,KIA,1,0.606829981
57,번즈,1990-08-07,롯데,4,0.596929979
58,이종욱,1980-06-18,NC,8,0.588630007
59,최준석,1983-02-15,롯데,0,0.573399996
60,김동명,1988-06-24,kt,3,0.571840004
61,김진성,1985-03-07,NC,1,0.56747
62,손승락,1982-03-04,롯데,1,0.563509997
63,브리검,1988-02-10,넥센,1,0.557049986
64,나주환,1984-06-14,SK,6,0.546680016
65,백정현,1987-07-13,삼성,1,0.546630001
66,로맥,1985-09-30,SK,9,0.546239997
67,맨쉽,1985-01-16,NC,1,0.53588
68,정우람,1985-06-01,한화,1,0.533919986
69,이해창,1987-05-11,kt,2,0.532469999
70,임창민,1985-08-25,NC,1,0.520740028
71,김승회,1981-02-11,두산,1,0.517740001
72,이대호,1982-06-21,롯데,3,0.516659985
73,박종훈,1991-08-13,SK,1,0.511140011
74,배제성,1996-09-29,kt,1,0.494739993
75,김재윤,1990-09-16,kt,1,0.493270005
76,정현,1994-06-01,kt,6,0.486519993
77,조동찬,1983-07-27,삼성,4,0.482159991
78,정상호,1982-12-24,LG,2,0.478160005
79,양성우,1989-05-02,한화,9,0.473579999
80,양석환,1991-07-15,LG,5,0.472839999
81,비야누에바,1983-11-28,한화,1,0.44684
82,이성열,1984-07-13,한화,7,0.441080004
83,원종현,1987-07-31,NC,1,0.429879991
84,최재훈,1989-08-27,"두산,한화",2,0.424630004
85,김용의,1985-08-20,LG,8,0.422990007
86,김재환,1988-09-22,두산,7,0.419799992
87,이형범,1994-02-27,NC,1,0.4159
88,김웅빈,1996-02-09,넥센,3,0.415180001
89,박정배,1982-04-01,SK,1,0.408749993
90,박헌도,1987-01-01,롯데,7,0.402980008
91,이천웅,1988-10-20,LG,7,0.391260001
92,유강남,1992-07-15,LG,2,0.390980013
93,신재영,1989-11-18,넥센,1,0.38352003
94,김헌곤,1988-11-09,삼성,7,0.377470001
95,김동엽,1990-07-24,SK,7,0.375649987
96,이대형,1983-07-19,kt,7,0.366199997
97,장민석,1982-05-09,한화,9,0.361200022
98,김성배,1981-01-12,두산,1,0.357549999
99,히메네스,1988-01-18,LG,5,0.357469989
100,권혁,1983-11-06,한화,1,0.349659995
101,윤석민,1985-09-04,"넥센,kt",0,0.342010005
102,스크럭스,1987-09-23,NC,3,0.339490013
103,김주한,1993-02-03,SK,1,0.332479998
104,한현희,1993-06-25,넥센,1,0.328159971
105,채은성,1990-02-06,LG,9,0.327490004
106,김재영,1993-07-22,한화,1,0.326870022
107,고효준,1983-02-08,KIA,1,0.323769997
108,오재일,1986-10-29,두산,3,0.320819994
109,임창용,1976-06-04,KIA,1,0.315659993
110,이용찬,1989-01-02,두산,1,0.311890011
111,정진기,1992-10-10,SK,7,0.301409999
112,문승원,1989-11-28,SK,1,0.294530008
113,나지완,1985-05-19,KIA,0,0.294339998
114,임정호,1990-04-16,NC,1,0.292540002
115,오재원,1985-02-09,두산,4,0.291450017
116,류제국,1983-05-30,LG,1,0.285279994
117,김성민,1994-04-26,"SK,넥센",1,0.283830009
118,김지용,1988-02-20,LG,1,0.271989995
119,오지환,1990-03-12,LG,6,0.270880019
120,모창민,1985-05-08,NC,0,0.267370018
121,이원석,1986-10-21,삼성,5,0.239419998
122,유한준,1981-07-01,kt,9,0.239149977
123,신정락,1987-05-13,LG,1,0.237750005
124,최원태,1997-01-07,넥센,1,0.233470033
125,손주인,1983-12-01,LG,4,0.227589999
126,우규민,1985-01-21,삼성,1,0.22494998
127,장성우,1990-01-17,kt,2,0.217140002
128,권희동,1990-12-30,NC,7,0.212939989
129,레나도,1989-09-09,삼성,1,0.210889999
130,이태양,1990-07-03,한화,1,0.208160012
131,이상화,1988-03-01,kt,1,0.206739994
132,김호령,1992-04-30,KIA,8,0.206690002
133,홍건희,1992-09-29,KIA,1,0.205119992
134,이보근,1986-04-30,넥센,1,0.204679986
135,진해수,1986-06-26,LG,1,0.197499993
136,전준우,1986-02-25,롯데,8,0.196100006
137,안영명,1984-11-19,한화,1,0.195079994
138,이상호,1989-02-05,NC,4,0.194670005
139,주권,1995-05-31,kt,1,0.191699999
140,한승혁,1993-01-03,KIA,1,0.189249998
141,금민철,1986-11-07,넥센,1,0.184839997
142,하영민,1995-05-07,넥센,1,0.17626
143,유민상,1989-04-13,kt,3,0.173449993
144,차일목,1981-01-26,한화,2,0.171510008
145,장필준,1988-04-08,삼성,1,0.170240021
146,이우민,1982-05-04,롯데,8,0.168560006
147,정성훈,1980-06-27,LG,3,0.154060001
148,문규현,1983-07-05,롯데,6,0.153830009
149,정병곤,1988-03-23,삼성,6,0.149659999
150,서진용,1992-10-02,SK,1,0.143499993
151,정용운,1990-07-06,KIA,1,0.138350001
152,김진우,1983-03-07,KIA,1,0.137439999
153,신재웅,1982-03-28,SK,1,0.137270004
154,윤희상,1985-05-17,SK,1,0.136889998
155,박해민,1990-02-24,삼성,8,0.136849988
156,김세현,1987-08-07,"넥센,KIA",1,0.132830003
157,김유영,1994-05-02,롯데,1,0.132579992
158,김상호,1989-05-10,롯데,3,0.131400006
159,이용규,1985-08-26,한화,8,0.131349993
160,강동호,1994-04-21,롯데,1,0.129789998
161,이동걸,1983-08-12,한화,1,0.124940002
162,김상수,1990-03-23,삼성,6,0.12362001
163,이홍구,1990-12-11,"KIA,SK",2,0.119600008
164,김회성,1985-12-04,한화,3,0.117299995
165,이영하,1997-11-01,두산,1,0.114829997
166,이승엽,1976-08-18,삼성,0,0.113730014
167,강장산,1990-02-16,"NC,kt",1,0.113569997
168,허도환,1984-07-31,한화,2,0.110940003
169,유재유,1997-03-03,LG,1,0.109819996
170,윤지웅,1988-03-11,LG,1,0.109149996
171,김범수,1995-10-03,한화,1,0.108710012
172,오윤성,1998-12-10,넥센,1,0.106349999
173,박민우,1993-02-06,NC,4,0.099400004
174,고종욱,1989-01-11,넥센,7,0.09792
175,안익훈,1996-02-12,LG,8,0.093030006
176,손시헌,1980-10-19,NC,6,0.090430004
177,고우석,1998-08-06,LG,1,0.08928
178,이진영,1997-07-21,KIA,7,0.087910002
